u,v,key,osmid,highway,maxspeed,name,oneway,reversed,length,geometry,lanes,ref,junction,width,bridge,access,tunnel,service,est_width
17487069,17487067,0,1352060019,primary,30 mph,Jacobs Wells Roundabout,False,True,29.731308132117967,"LINESTRING (-2.6080926 51.4507722, -2.6080729 51.4507065, -2.6080165 51.4506496, -2.6079309 51.4506094, -2.6078277 51.4505911)",,,circular,,,,,,
17585126,1130492591,0,36990479,primary,20 mph,Triangle West,True,False,45.11416465987685,"LINESTRING (-2.6080503 51.4562142, -2.6080419 51.4562768, -2.6080039 51.4564433, -2.6079905 51.4565167, -2.6079721 51.4566169)",3,A4018,,,,,,,
17585135,1775501535,0,280997083,secondary,20 mph,Jacobs Wells Road,False,False,14.269979689821922,"LINESTRING (-2.6100036 51.4537869, -2.6100205 51.4539148)",2,B4466,,,,,,,
17585135,247900624,0,22994339,residential,20 mph,Gorse Lane,False,False,67.70523331189118,"LINESTRING (-2.6100036 51.4537869, -2.6102021 51.4538215, -2.6102548 51.4538489, -2.6103029 51.4538875, -2.6103804 51.453948, -2.6104596 51.4540076, -2.6105116 51.4540419, -2.6105533 51.4540613, -2.6105973 51.454077, -2.6106541 51.4540941, -2.6107756 51.4541293)",,,,,,,,,
17585135,981814755,0,280997083,secondary,20 mph,Jacobs Wells Road,False,True,73.15338409856172,"LINESTRING (-2.6100036 51.4537869, -2.6099472 51.4532815, -2.6099304 51.4531306)",2,B4466,,,,,,,
17585143,957754269,0,3552302,primary,20 mph,Park Street,False,True,4.835294742119566,"LINESTRING (-2.6036209 51.4551531, -2.6035778 51.4551189)",2,A4018,,,,,,,
17585143,2971357803,0,159956816,primary,20 mph,Park Street,False,False,67.998226085653,"LINESTRING (-2.6036209 51.4551531, -2.6042364 51.4556294)",2,A4018,,,,,,,
17585146,26070233,0,4308343,unclassified,20 mph,Great George Street,False,False,37.47768023131616,"LINESTRING (-2.6026238 51.4543815, -2.6030418 51.4541676)",,,,,,,,,
17585146,957754269,0,3552302,primary,20 mph,Park Street,False,False,105.32643010862225,"LINESTRING (-2.6026238 51.4543815, -2.603195 51.4548299, -2.6035778 51.4551189)",2,A4018,,,,,,,
17585146,26159335,0,3552302,primary,20 mph,Park Street,False,True,112.55862082346982,"LINESTRING (-2.6026238 51.4543815, -2.6022983 51.4541346, -2.6015984 51.4535964)",2,A4018,,,,,,,
