osmid,latitude,longitude
2004050909,51.4570483,-2.6059258
2004050917,51.4573982,-2.606673
2004050931,51.4575159,-2.6068096
2004051104,51.4586188,-2.6047571
2004051110,51.4586798,-2.604778
2006482331,51.454564,-2.6018538
2006482395,51.4549167,-2.6016998
2006482417,51.4549003,-2.6021228
2006482485,51.4553788,-2.6021893
2098022282,51.4557038,-2.6070515
2205701895,51.4518382,-2.601845
2207401618,51.4547705,-2.609877
2207401619,51.4549006,-2.6098094
2283531260,51.4576484,-2.6073936
2283531279,51.457897,-2.607582
2298696536,51.4531425,-2.601014
2298696749,51.4519153,-2.6018711
2334411823,51.4599207,-2.6089119
2334411827,51.4600999,-2.6087629
2472524829,51.458502,-2.6056261
2700693002,51.4530702,-2.6018698
2757541579,51.4525456,-2.6102439
2757541600,51.4529147,-2.6105348
2823453307,51.4576148,-2.6147664
2892455909,51.4580723,-2.6098063
2892455910,51.4582844,-2.6089043
2892455913,51.4584185,-2.6092122
2971357803,51.4556294,-2.6042364
2983539805,51.4526791,-2.6149947
2983539832,51.4530922,-2.6149307
3357011029,51.454417,-2.6144359
3357011075,51.4548388,-2.6138789
3460374403,51.454733,-2.6049903
3460374415,51.4549315,-2.6053562
3584572356,51.4523029,-2.6024048
3584572362,51.4532294,-2.602155
3584572365,51.4532074,-2.6029132
3584572371,51.4533464,-2.6020425
3683449012,51.4553477,-2.6015694
3683449014,51.4553877,-2.601119
3684809154,51.4585982,-2.6057448
4032728624,51.4596579,-2.6079172
4032728626,51.4598568,-2.6079505
4032728630,51.4595446,-2.6078772
4032728634,51.4595355,-2.6087322
4032728650,51.4593834,-2.6080584
4032728652,51.4593336,-2.6087628
4117553193,51.4569539,-2.606038
4117553197,51.4570526,-2.6062184
4117553202,51.4571344,-2.6061153
4117553207,51.457215,-2.6069518
4117553226,51.4573892,-2.6071202
4117553234,51.4575861,-2.6068493
4117553235,51.4577185,-2.6073616
4117553241,51.4581246,-2.6071776
4150116222,51.4592182,-2.6046482
4150116225,51.4593402,-2.6041247
4218233650,51.4553468,-2.6016596
4218233651,51.4553637,-2.6020384
4414001238,51.4601356,-2.6019325
4414001240,51.460152,-2.6018655
4416875031,51.4604229,-2.6046774
4416875033,51.460431,-2.604632
4484476609,51.4602413,-2.609495
4484476616,51.4604735,-2.6086117
4585717379,51.455775,-2.6127166
4585717384,51.4554654,-2.6126936
4585717385,51.4553452,-2.6125557
4585717386,51.4553871,-2.6124943
4585717387,51.4554836,-2.6126639
4585717388,51.4553703,-2.6124649
4765573944,51.4537745,-2.6038098
4765573947,51.4536459,-2.604061
4765573948,51.4541983,-2.6055404
5065093356,51.4582312,-2.60891
5227109823,51.4551489,-2.6107892
5227109824,51.4551382,-2.610741
5359649074,51.4571967,-2.6126486
5359649075,51.4570486,-2.6122689
5359649076,51.4567518,-2.612525
5499934229,51.4525638,-2.6038765
5499934241,51.4525343,-2.6039686
5499934242,51.4525732,-2.6040054
5499934253,51.4532228,-2.6021614
5499934256,51.4533146,-2.6024477
5517369464,51.4604707,-2.6125633
5517369465,51.4605542,-2.6126304
5517369479,51.4598651,-2.6148054
5517369480,51.4599313,-2.6148589
5519467253,51.4581344,-2.6122841
5519467268,51.4579782,-2.6118307
5519467272,51.4582099,-2.6089123
5519467286,51.4585336,-2.6088728
5540498355,51.4585725,-2.6017273
5914649926,51.4583251,-2.6131639
5914649930,51.4583478,-2.6132673
6018428039,51.458156,-2.6062194
6058290566,51.4587304,-2.604783
6058290567,51.4586801,-2.6047615
6058981815,51.4582796,-2.6143947
6058981816,51.4580013,-2.6148416
6071146258,51.4522443,-2.6033489
6071146259,51.4523456,-2.6027507
6071146263,51.4520526,-2.6035143
6071146268,51.4520672,-2.6037769
6147790295,51.4591951,-2.6125109
6148469042,51.4580732,-2.6141909
6148493657,51.4575934,-2.6143784
6148493658,51.4576648,-2.6146038
6439781387,51.4567128,-2.6127713
6835918884,51.4581021,-2.6038205
6835942106,51.4586431,-2.603809
6835942108,51.458636,-2.6035921
6868292379,51.4520775,-2.6028769
6868292380,51.4521584,-2.6029128
7065555299,51.4561765,-2.6116139
7065555301,51.4563829,-2.6119762
7737202755,51.4605206,-2.6064121
7737202757,51.4602033,-2.6061447
8227117931,51.4575426,-2.6137587
8265614349,51.4578586,-2.6131246
8265614351,51.4577074,-2.6132618
