node_id,lat,lon,tags
1628235127,52.0801999,-1.3606967,{}
1628234867,52.0794581,-1.3625528,{}
1628234984,52.0795632,-1.3631745,{}
1628235109,52.0794093,-1.3635999,{}
1628235011,52.0793048,-1.3637276,{}
370923108,52.0793754,-1.3640577,{}
8866152479,52.0792324,-1.3640928,{}
2121267486,52.0793222,-1.3641591,{}
27512478,52.0792517,-1.3641772,{}
8866152490,52.079239,-1.3643651,{}
1628235208,52.0793938,-1.3643888,{}
27512467,52.0795969,-1.3644693,{}
8866152486,52.0794285,-1.364994,{}
8866152484,52.0794978,-1.3654232,{}
1628234921,52.0795834,-1.3655661,{}
6538690401,52.079498,-1.3656543,{}
12232199080,52.0793864,-1.3673506,{}
1628234957,52.0792627,-1.3673664,{}
2121603586,52.0793099,-1.3674164,{}
602680353,52.0790373,-1.3676223,{}
2121603554,52.0788699,-1.3677955,{}
1495615276,52.0789564,-1.3679041,{}
8712115811,52.0788485,-1.3679311,{}
2121603552,52.0788174,-1.3678165,{}
12469520330,52.0784043,-1.3677992,{}
12469520329,52.0781976,-1.3676664,{}
15830388,52.0775457,-1.3671674,{'created_by': 'JOSM'}
2203590434,52.0773787,-1.367075,{}
2121603515,52.0771111,-1.3669271,{}
7772909263,52.0769856,-1.3668664,{}
15830386,52.0766175,-1.3666883,{'created_by': 'JOSM'}
27412051,52.0764115,-1.3666036,{}
2121603508,52.076118,-1.3664581,{}
2121603506,52.0758979,-1.3663295,{}
27412050,52.0756587,-1.3661519,{}
2121603502,52.0753052,-1.3657257,{}
2121603489,52.0752085,-1.3657482,{}
27412038,52.0751657,-1.3656669,{}
2121603498,52.0752648,-1.3656026,{}
2121603476,52.0752008,-1.3656125,{}
1628234881,52.0752296,-1.3655416,{}
2121603494,52.0752446,-1.3654824,{}
27412042,52.0752515,-1.3654138,{}
2121603496,52.0752454,-1.3653188,{}
27412041,52.0752177,-1.365186,{}
2121603475,52.0751835,-1.3651132,{}
2121603473,52.0751397,-1.3650236,{}
2121603455,52.0746915,-1.3648664,{}
2121603451,52.0746131,-1.3649237,{}
2121603446,52.0745808,-1.3648604,{}
2121603448,52.0746034,-1.364818,{}
2121603443,52.0745559,-1.364804,{'note': 'There are no turn restriction signs here'}
602467044,52.0742272,-1.364596,{}
2024924896,52.0741606,-1.3645352,{}
15830381,52.0741929,-1.3643991,{}
602467045,52.0738191,-1.3642441,{}
602467046,52.073844,-1.3641641,"{'crossing': 'traffic_signals', 'crossing_ref': 'toucan', 'highway': 'traffic_signals', 'traffic_signals': 'signal', 'traffic_signals:direction': 'both'}"
602467059,52.0735838,-1.3640847,{}
28212761,52.0735971,-1.3640068,{'created_by': 'JOSM'}
602467060,52.0729669,-1.3639126,{}
27412070,52.0729737,-1.3638329,{'created_by': 'JOSM'}
2025439813,52.0727392,-1.3638738,{}
2025439815,52.0727377,-1.3637883,{}
2121603310,52.071321,-1.3635984,{}
8418317690,52.0713636,-1.363489,{}
2121603284,52.0710517,-1.3641502,{}
6538788954,52.0710352,-1.3658497,{}
2121603269,52.0708574,-1.3665071,"{'highway': 'turning_circle', 'note': ""Fix me asked if connected\n\nNo has a row of fixed bollards at end of road since the late 90's""}"
1628268361,52.070825,-1.3677127,{}
15830391,52.0710092,-1.3685194,{}
8714834666,52.0703502,-1.3685201,{}
679176612,52.0699519,-1.3684955,{}
457667176,52.0697146,-1.3684982,{}
602362583,52.0691495,-1.3684807,{}
6556979037,52.0688553,-1.3684724,{}
725304162,52.0685273,-1.368458,{}
457667174,52.0682108,-1.3684426,{}
2121603194,52.0681366,-1.3684322,{}
